study_words,test,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testing.started,text_2.started,textbox.started,text_3.started,mouse.started,testing.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
phone,,,,0,0,0,2,,,,,0.03675980000116397,,0.006666200002655387,0.03675980000116397,0.03675980000116397,2.304005199999665,1.0777777777777777,2.2726457999960985,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
mouse,,,,0,1,1,8,,,,,2.321618200003286,,2.3043945000099484,2.321618200003286,2.321618200003286,2.8866419000114547,1.1962962962962962,0.5596572999929776,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
police,,,,0,2,2,12,,,,,2.903721599999699,,2.88694700000633,2.903721599999699,2.903721599999699,3.10468899999978,1.2,0.19447450000734534,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
book,,,,0,3,3,0,,,,,3.1214319999999134,,3.10514559999865,3.1214319999999134,3.1214319999999134,3.253973400001996,1.2,0.12662850000197068,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
cruise,,,,0,4,4,11,,,,,3.2730692000041017,,3.254249500008882,3.2730692000041017,3.2730692000041017,3.419850899997982,1.2,0.14164099999470636,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
chart,,,,0,5,5,6,,,,,3.4381093999982113,,3.4201152000023285,3.4381093999982113,3.4381093999982113,3.603203000006033,1.2,0.15988770000694785,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
pastry,,,,0,6,6,9,,,,,3.621384800004307,,3.6034846999973524,3.621384800004307,3.621384800004307,3.7867912000074284,1.2,0.16026350000174716,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
board,,,,0,7,7,4,,,,,3.803829099997529,,3.7870675000012852,3.803829099997529,3.803829099997529,3.9702447000017855,1.2,0.16077879999647848,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
t-shirt,,,,0,8,8,7,,,,,3.9877984000049764,,3.9705854000058025,3.9877984000049764,3.9877984000049764,4.136771700010286,1.2,0.14318900000944268,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
laptop,,,,0,9,9,5,,,,,4.153462300004321,,4.137042000002111,4.153462300004321,4.153462300004321,4.319984900008421,1.2,0.16081780000240542,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
cushion,,,,0,10,10,1,,,,,4.336754600008135,,4.320251900004223,4.336754600008135,4.336754600008135,4.503472299998975,1.2,0.16122619999805465,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
keys,,,,0,11,11,13,,,,,4.519972800000687,,4.503742500004591,4.519972800000687,4.519972800000687,4.669814100008807,1.2,0.14431530000001658,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
poster,,,,0,12,12,14,,,,,4.686065800007782,,4.670088500002748,4.686065800007782,4.686065800007782,5.036782299997867,1.2,0.3454775999998674,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
marble,,,,0,13,13,3,,,,,5.0536653000017395,,5.037045500008389,5.0536653000017395,5.0536653000017395,5.2702206000103615,1.2,0.21109359999536537,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
case,,,,0,14,14,10,,,,,5.28715750000265,,5.270497100005741,5.28715750000265,5.28715750000265,5.470894600002794,1.2,0.17719070000748616,,,,,,,,,,,,,,,126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_ha_t,chart,old,,,,,0,0,0,1,5.492412100007641,,,,,,,,5.474601399997482,5.492412100007641,5.492412100007641,5.492412100007641,0.006803199998103082,12.752863800007617,chart,"[-0.45, -0.027777777777777776]","[-0.30185185185185187, -0.2898148148148148]","[1, 1]","[0, 0]","[0, 0]","[0.12371499999426305, 7.274380200004089]",['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,c_m_ra,camera,new,,,,,0,1,1,19,12.766162900006748,,,,,,,,12.753812100010691,12.766162900006748,12.766162900006748,12.766162900006748,0.0021702000085497275,18.21706740000809,camera,[-0.024074074074074074],[-0.30277777777777776],[1],[0],[0],[5.460583000007318],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_r_is_,cruise,old,,,,,0,2,2,6,18.233096099997056,,,,,,,,18.217881700009457,18.233096099997056,18.233096099997056,18.233096099997056,0.0027477000112412497,22.199805299998843,cruise,[-0.026851851851851852],[-0.2935185185185185],[1],[0],[0],[3.9788806999858934],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,c_s_,case,old,,,,,0,3,3,5,22.215849700005492,,,,,,,,22.20041299999866,22.215849700005492,22.215849700005492,22.215849700005492,0.0021180000039748847,24.65021780000825,case,[-0.025925925925925925],[-0.29444444444444445],[1],[0],[0],[2.4472056000086013],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_o_rd,board,old,,,,,0,4,4,10,24.66558490000898,,,,,,,,24.650855600004434,24.66558490000898,24.66558490000898,24.66558490000898,0.0022342000011121854,32.06682439999713,board,[-0.013888888888888888],[-0.3101851851851852],[1],[0],[0],[7.413222400005907],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_a_bl_,marble,old,,,,,0,5,5,11,32.081756500003394,,,,,,,,32.06768030000967,32.081756500003394,32.081756500003394,32.081756500003394,0.003220900005544536,35.800737800003844,marble,[-0.013888888888888888],[-0.30833333333333335],[0],[0],[1],[3.7293570000038017],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,t_hi_t,tshirt,old,,,,,0,6,6,2,35.81498950000969,,,,,,,,35.801592500007246,35.81498950000969,35.81498950000969,35.81498950000969,0.0025732999929459766,39.216068599998835,tshirt,[-0.012037037037037037],[-0.30833333333333335],[1],[0],[0],[3.411562599998433],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_li_e,police,old,,,,,0,7,7,7,39.231468300000415,,,,,,,,39.21661540000059,39.231468300000415,39.231468300000415,39.231468300000415,0.002066999993985519,42.39900440000929,police,[-0.012037037037037037],[-0.30925925925925923],[1],[0],[0],[3.1798053000093205],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,ta_l_,table,new,,,,,0,8,8,15,42.414599600000656,,,,,,,,42.39971959999821,42.414599600000656,42.414599600000656,42.414599600000656,0.0023446999985026196,44.782600000005914,table,[-0.012037037037037037],[-0.31203703703703706],[1],[0],[0],[2.380155200007721],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_st_r,poster,old,,,,,0,9,9,9,44.797810800009756,,,,,,,,44.78319960000226,44.797810800009756,44.797810800009756,44.797810800009756,0.002135300004738383,47.65000720000535,poster,[-0.007407407407407408],[-0.3194444444444444],[1],[0],[0],[2.863923099997919],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,bo_t_e,bottle,new,,,,,0,10,10,18,47.66479330000584,,,,,,,,47.651294499999494,47.66479330000584,47.66479330000584,47.66479330000584,0.003687399992486462,48.11570409999695,,[-0.007407407407407408],[-0.3194444444444444],[1],[0],[0],[0.46044710000569467],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,c_s_io_,cushion,old,,,,,0,11,11,14,48.131205800003954,,,,,,,,48.11630270000023,48.131205800003954,48.131205800003954,48.131205800003954,0.0020800000056624413,56.13234110000485,cushion,"[-0.023148148148148147, -0.03333333333333333]","[-0.3296296296296296, -0.30833333333333335]","[1, 1]","[0, 0]","[0, 0]","[7.629856600004132, 8.013464800009388]",['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_oo_,book,old,,,,,0,12,12,13,56.14748860000691,,,,,,,,56.13317400000233,56.14748860000691,56.14748860000691,56.14748860000691,0.0024185000074794516,58.800637899999856,book,[-0.024074074074074074],[-0.32222222222222224],[1],[0],[0],[2.664737300001434],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_ou_e,mouse,old,,,,,0,13,13,3,58.81427170000097,,,,,,,,58.80120729999908,58.81427170000097,58.81427170000097,58.81427170000097,0.0023782000062055886,61.631767800005036,mouse,[-0.026851851851851852],[-0.3138888888888889],[1],[0],[0],[2.8276397999870824],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,_ho_e,phone,old,,,,,0,14,14,12,61.64716350000526,,,,,,,,61.63259220001055,61.64716350000526,61.64716350000526,61.64716350000526,0.0029996999946888536,65.24883199999749,phone,[-0.026851851851851852],[-0.31296296296296294],[1],[0],[0],[3.612475200003246],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_nc_l,pencil,new,,,,,0,15,15,16,65.26371240000299,,,,,,,,65.24979950000125,65.26371240000299,65.26371240000299,65.26371240000299,0.0033033000072464347,69.31446740000683,pencil,[-0.025925925925925925],[-0.3148148148148148],[1],[0],[0],[4.060876000003191],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,v_s_,vase,new,,,,,0,16,16,17,69.33013519999804,,,,,,,,69.3151102999982,69.33013519999804,69.33013519999804,69.33013519999804,0.0036480999988270923,71.99770540000463,vase,[-0.027777777777777776],[-0.3138888888888889],[1],[0],[0],[2.6785520000121323],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,k_y_,keys,old,,,,,0,17,17,8,72.01370710000629,,,,,,,,71.99827180001012,72.01370710000629,72.01370710000629,72.01370710000629,0.0020231999951647595,74.31448570000066,keys,[-0.027777777777777776],[-0.31296296296296294],[1],[0],[0],[2.3135518000053708],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,l_pt_p,laptop,old,,,,,0,18,18,0,74.32974060000561,,,,,,,,74.31584680000378,74.32974060000561,74.32974060000561,74.32974060000561,0.00472480000462383,77.43227309999929,laptop,[-0.026851851851851852],[-0.3138888888888889],[1],[0],[0],[3.111426899995422],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
,p_s_r_,pastry,old,,,,,0,19,19,4,77.44645480001054,,,,,,,,77.43280609999783,77.44645480001054,77.44645480001054,77.44645480001054,0.00224609998986125,81.04780840000603,pastry,[-0.032407407407407406],[-0.30925925925925923],[1],[0],[0],[3.6118932999961544],['text_3'],126661,001,2024-11-06_23h46.28.536,Task5_WordPriming,2024.1.5,None,2024-11-06 23h46.35.196328 +0530,
